Name of Product,Batch No,Manufactured By,Reporting Month & Year
Compound Sodium Lactate Injection I.P. (Ringer Lactate Solution for Injection) (RL 500 ml),MP24050511 1,"M/s. Vision Parenteral Pvt. Ltd. Located at A-2, 44,45, Sector-15, GIDA, Sahjanwa (U.P.) 273 209",01-08-2024
Rolled Gauze (Non- Sterilized),RG-006,"M/s. Blazon India, At: Musallahpur, Baripath, Patna-6",01-08-2024
Paracetamol Tablets IP 500 mg,2508323,"M/s. Karnataka Antibiotics and Pharmaceuticals Ltd., Plot No. 14, II Phase, Peenya, Bengaluru-560058",01-08-2024
Rifmin 550 (Rifaximin Tablets 550 mg),TX-17798,"M/s. Legen Healthcare, Plot No. 20, Sector-5, Parwanoo, Distt. Solan (H.P.) 173220",01-08-2024
Fexofenadine Hydrochloride Tablets IP 120 mg,MP9AA2303,"M/s. Maxtar Bio-Genics, Khasra No-705, Vill-Malku Majra, Nalagarh Road, Baddi, Distt-Solan- 173205(HP), India",01-08-2024
Fexofenadine Hydrochloride Tablets IP 120 mg,MP9AA2303 (Two different samples received with same batch number),"M/s. Maxtar Bio-Genics, Khasra No-705, Vill-Malku Majra, Nalagarh Road, Baddi, Distt-Solan- 173205(HP), India",01-08-2024
Atropine Sulphate Injection IP 2 ml,ATA12407,"M/s. Nandani Medical Laboratories Pvt. Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore.",01-08-2024
Atropine Sulphate Injection I.P. (Atropine Sulphate),AS-9055 (Two different samples received with same batch number),"M/s. Priya Pharmaceuticals 109/397, Nehru Nagar, Kanpur-208012, Uttar Pradesh",01-08-2024
Atropine Sulphate Injection I.P. (Atropine Sulphate),AS-9055 (Two different samples received with same batch number),"M/s. Priya Pharmaceuticals 109/397, Nehru Nagar, Kanpur-208012, Uttar Pradesh",01-08-2024
Cefoperazone & Sulbactam For Injection (Todaycef 1.5 G),D0481,"M/s. Daxin Pharmaceuticals Pvt. Ltd., Plot No. 121-122 EPIP, Jharmajri Phase-1, Teh. Baddi, Distt. Solan (H.P.) 174 103.",01-08-2024
Calcium 500 mg with Vitamin D3 250 IU Tablets IP,LMT231058,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-08-2024
INFUSION SET-NV,KT-015,"M/s. MEDIVISION HEALTHCARE, 84/4 Span Industrial Complex. Second Floor, Phase-1, 'F' Road, Opp. Kotak Mahindra Bank, G.I. D.C. Vatva, Ahmedabad- 382445",01-08-2024
Telmisartan Tablets IP 40 mg,251TTF011,"M/s. Swiss Garnier Life Science, 21-23, Industrial Area, Mehatpur, Dist. Una, , Himachal Pradesh- 174315. Iindia",01-08-2024
Calcium and Vitamin D3 Tablets I.P.,UDT11151,"M/s. Unicure India Ltd., C- 21, 22 & 23, Sector-3, Noida-201 301 Distt. Gautam Budh Nagar (U.P.)",01-08-2024
Alprazolam Tablets IP 0.25 mg (Erazol- 0.25 Tablets),16747,"M/s. ELIKEM Pharmaceuticals Private Limited, 816/1, Rakanpur, Ta. Kalol, Dist. Gandhinagar, Guj. 382721",01-08-2024
Metronidazole Tablets IP 400mg,HMAA04,"M/s. HINDUSTAN ANTIBIOTICS LTD. (A Government of India Enterprises) at 11, W.E. A. Faridabad - 121001 (Haryana) R.O.:Pimpri, Pune-411018,INDIA",01-08-2024
Olmesartan Medoxomil Tablets IP 40 mg,LMT240387,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-08-2024
Telmisartan Tablets IP 40 mg,LMT240528,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-08-2024
Telmisartan Tablets IP 40 mg,LMT240502,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-08-2024
Compound Sodium Lactate Injection I.P. (Ringer Lactate Solution for Injection) RL 500ml,MP24040508 5,"M/s. Vision Parentral Pvt. Ltd., A-2-44-45, Sector 15, GIDA Industrial Area, Gorakhpur 273209 (U.P.), India.",01-08-2024
"Paracetamol, Phenylephrine Hydrochloride and Cetirizine Hydrochloride Suspension (Cethel Cold DS Suspension)",WPS-013,"M/s. Win Cure Pharma, Plot No. 21, DIC, Baddi (H.P.) 173205",01-08-2024
Tab Nodosis,SMST- 24151,"Steadfast Medishield pvt.Ltd, At khasra,No.322, Nanhera , Anantpur, Bhgwanpur, Roorkee, Dist. Haridwar",01-08-2024
Pantomed -40,GTEO230 C,"Digital Vision 176, Mauza ogli, Nahan Road, Kala -Amb, Dist Sirmour - 173 030",01-08-2024
Pantoprazole Inj. BP 40 mg,D0726/24- 25,"Kerala Medical Services Corporation Ltd, Thycaud.P.O, Thiruvananthapuram",01-08-2024
Paziva -40,GT300234,"M/s.Gnosis Pharmaceuticals Pvt.Ltd, Nahan Road , Village Moginand , Kala-Amb Dist. Sirmour, HP-173 030",01-08-2024
Cefixime Oral Suspension IP (Dry Syrup),CADA-02,"Nestor Pharmaceuticals Ltd, 11, Western Extension Area, Faridabad - 121001",01-08-2024
Frusemide Injection IP 20 mg,FRIB-03,"Nestor Pharmaceuticals Ltd, Faridabad- 121 001",01-08-2024
PANCEF-OF,T442401,"Aglomed Ltd. 51, Raipur , Roorkee ? 247661 . H.O : 702-A, Poonam Chambers , Dr. A.B Road , Worli , Mumbai ? 400018, India",01-08-2024
Moxymed CV,ABT 23316,"Alexa Pharmaceuticals , Plot No. 20, Ext HPSIDC, Indl.Area, Baddi, Solan ? 173 205",01-08-2024
Kudajarishtam,110,"Bala Herbals, Industrial Estate, Edakkulangara, Kollam",01-08-2024
Yogaraja Guggulu,209/21,"Bhaskara Vilasam Vaidyasala, Panayamuttom, Nedumangadu, Thiruvananthapuram - 695 561",01-08-2024
Haridrakhanda m,207/23,"Bhaskara Vilasam Vaidyasala, Panayamuttom, Nedumangadu, Thiruvananthapuram - 695 561",01-08-2024
Telma H (Telmisartan 40 mg and Hydrochlorot hiazide 12.5mg Tablets IP),18230080,"Glenmark Pharmaceuticals Ltd, Village-Kishanpura, Baddi, Himachal Pradesh 1732025",01-08-2024
Escitalopram and Clonazepam Tablets IP (Klozaps-ES Tablets),NTD0203,"M/.s Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour (H.P.)-173030",01-08-2024
Phenytoin Sodium Injection USP,HIPY23012C,"M/.s Health Biotech Ltd., Village Sandoli, Nalagarh Road, Baddi, Distt. Solan (H.P.) India-173205",01-08-2024
GLIMEPIRIDE TABLETS IP (2 mg),MT234799,"M/s, Mascot Health Series Pvt. Ltd., 79 & 80, Sec-6A, IIE Sidcul Haridwar- 249403",01-08-2024
Ursocol 300 (Ursodeoxych olic Acid Tablets IP),GTE1350A,"M/s Sun Pharma Laboratories Ltd. Vill. Kokjhar, Mirza Palashbari Road, P.O. Palashbari, Guwahati, Dist. Kamrup, Assam- 781128",01-08-2024
